"ParamLabel","Estimate","Std. Error","t value","Pr(>|t|)"
"alpha0_1",0.0451745726762913,0.00868936489928201,5.19883480552463,1.00270824199278e-07
"alpha1_1",9.11579087678043e-06,0.000261775524794203,0.0348229303864327,0.486110467956968
"alpha2_1",0.166215450835462,0.0330219848231319,5.03347850608387,2.40829421627176e-07
"beta_1",0.84579633298244,0.0147860066435551,57.2024856590406,0
"nu_1",8.4213279239003,1.35865211303896,6.19829597516611,2.85388712661927e-10
"xi_1",0.778242261878176,0.0279776605520965,27.8165595879266,0
"alpha0_2",0.00658612612971776,0.00153420999918787,4.29284526447105,8.8198971809339e-06
"alpha1_2",7.28726576894038e-05,0.00419702908718195,0.0173629146178573,0.493073547270231
"alpha2_2",0.119983056976596,0.0217542642492333,5.51538105825962,1.74012526610312e-08
"beta_2",0.932150159599327,0.00253080150409498,368.322113801125,0
"nu_2",19.7947944622184,6.88624199094635,2.87454238294901,0.00202306730567425
"xi_2",0.889154628119552,0.0241747068104724,36.780368634476,0
"P_1_1",0.996379885876832,0.00301284822417663,330.710282012009,0
"P_2_1",0.00346769056427309,0.00246208034357445,1.40843923851758,0.079500523585201
